"ProbeID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol","Entrez_Gene_ID","Mean_RRMS","Mean_SPMS","Delta_abs"
"ILMN_1700703",4.40097492605556,-4.99009754625,2.82794972722462,0.00652282239372294,0.999537311363859,-4.58602275506776,"GADL1",339896,-6.56187430555556,-2.1608993795,4.40097492605556
"ILMN_1761101",10.2804950277778,32.8131793392857,2.82626574974909,0.00655277050438651,0.999537311363859,-4.58603376496461,"CCDC112",153733,29.1415739722222,39.422069,10.2804950277778
"ILMN_2166275",3.54817423944444,1.97314218107143,2.82082392058284,0.00665041951504414,0.999537311363859,-4.58606932166447,"NOTUM",147111,0.705937095555556,4.254111335,3.54817423944444
"ILMN_1809086",30.9139594444444,204.643330357143,2.81624980085481,0.00673353596635255,0.999537311363859,-4.58609918253493,"XRN1",54464,193.602630555556,224.51659,30.9139594444445
"ILMN_2217289",-3.77844974444444,-8.59896709285714,-2.81601826810428,0.0067377685511603,0.999537311363859,-4.58610069339292,"UBE2S",27338,-7.24952075555556,-11.0279705,3.77844974444444
"ILMN_1678116",7.32231700555555,5.76201761071429,2.81382709433044,0.00677794658480538,0.999537311363859,-4.58611498875663,"XAGE1E",653067,3.14690439444444,10.4692214,7.32231700555556
"ILMN_1675706",3.82803573355555,-7.69452683642857,2.80785651069117,0.00688855018436919,0.999537311363859,-4.58615391312792,"APOA4",337,-9.06168245555556,-5.233646722,3.82803573355555
"ILMN_2179579",4.88386531766667,2.93160817178571,2.80110006575229,0.00701571931204041,0.999537311363859,-4.586197911001,"SNHG3",NA,1.18737055833333,6.071235876,4.88386531766667
"ILMN_1802192",-4.63810524277778,1.38843046964286,-2.80003233223368,0.00703601314350919,0.999537311363859,-4.58620485920945,"C10orf99",387695,3.04489662777778,-1.593208615,4.63810524277778
"ILMN_1750693",140.342802777778,911.282226785714,2.79965859163718,0.00704312941353037,0.999537311363859,-4.58620729098888,"SSR1",6745,861.159797222222,1001.5026,140.342802777778
"ILMN_2044081",-6.44134297611111,4.98417362678571,-2.78945612462549,0.00723997420569879,0.999537311363859,-4.58627361126336,"DEFB106B",503841,7.28465326111111,0.843310285,6.44134297611111
"ILMN_2214473",-9.70138432777778,26.4729431607143,-2.78759120908164,0.00727649930439755,0.999537311363859,-4.58628572079243,"FLJ43692",445328,29.9377232777778,20.23633895,9.70138432777778
"ILMN_1700728",-8.49772731944444,19.2557970053571,-2.78530556777569,0.00732149612245692,0.999537311363859,-4.58630055665235,"KRTCAP3",200634,22.2906996194444,13.7929723,8.49772731944445
"ILMN_1717599",-4.21201488944444,-5.6187287875,-2.78040431568078,0.00741885165369814,0.999537311363859,-4.58633234938566,"CNTN3",5067,-4.11443775555556,-8.326452645,4.21201488944444
"ILMN_1700268",-11.8438591722222,36.6847270178571,-2.77437963852379,0.00754015615149527,0.999537311363859,-4.58637139041518,"QPRT",23475,40.9146767222222,29.07081755,11.8438591722222
"ILMN_1784294",4.61598585611111,-4.82819073392857,2.77206427869599,0.00758725902338194,0.999537311363859,-4.58638638290455,"CPA4",51200,-6.47675711111111,-1.860771255,4.61598585611111
"ILMN_1733680",36.0779406111111,108.422122678571,2.76844985177939,0.0076613316214011,0.999537311363859,-4.58640977437879,"AZI2",64343,95.5371438888889,131.6150845,36.0779406111111
"ILMN_1794829",-3.32716098888889,-5.21510449285714,-2.7664133256815,0.00770336007194337,0.999537311363859,-4.58642294728424,"C6orf117",112609,-4.02683271111111,-7.3539937,3.32716098888889
"ILMN_2355549",-4.54011537944444,1.93073351607143,-2.76521271542178,0.00772823680698396,0.999537311363859,-4.5864307108919,"GSTT2",653689,3.55220329444444,-0.987912085,4.54011537944444
"ILMN_1765002",-3.31765138083333,-3.39424076232143,-2.75687234008914,0.00790310153470954,0.999537311363859,-4.58648459521022,"FAM153C",653316,-2.20936526916667,-5.52701665,3.31765138083333
"ILMN_1679891",7.81229691666667,28.359736625,2.75398903944803,0.00796439488092415,0.999537311363859,-4.58650320374769,"NAF1",92345,25.5696305833333,33.3819275,7.81229691666667
"ILMN_2153373",20.4174163888889,148.708083035714,2.75245912988415,0.00799709507297523,0.999537311363859,-4.58651307355433,"LRBA",987,141.416148611111,161.833565,20.4174163888889
"ILMN_1690278",4.23558097222222,12.4824975178571,2.75230136915539,0.00800047405590345,0.999537311363859,-4.5865140911449,"DLEC1",9940,10.9697900277778,15.205371,4.23558097222222
"ILMN_1693683",11.350156805,10.1207805303571,2.74778770139712,0.00809770767045631,0.999537311363859,-4.58654319249859,"PDAP1",11333,6.0671531,17.417309905,11.350156805
"ILMN_1742307",-3.02590347333333,-2.54735511857143,-2.74737051187124,0.00810674943114754,0.999537311363859,-4.58654588103236,"MEST",4232,-1.46667530666667,-4.49257878,3.02590347333333
"ILMN_1671895",9.15319566666667,34.7776967857143,2.74687030987019,0.00811760256207441,0.999537311363859,-4.58654910425252,"ZNF613",79898,31.5086983333333,40.661894,9.15319566666667
"ILMN_1793435",6.33440926277778,8.21097616964286,2.7452432532675,0.00815299809748387,0.999537311363859,-4.58655958663641,"KIAA1107",23285,5.94868714722222,12.28309641,6.33440926277778
"ILMN_1731800",-3.66407350694444,1.20367498589286,-2.7440423075835,0.00817921484029067,0.999537311363859,-4.58656732171594,"KRT33A",3883,2.51227266694444,-1.15180084,3.66407350694444
"ILMN_1681249",13.9515555972222,27.7266391303571,2.74297641727423,0.00820254821315906,0.999537311363859,-4.58657418545635,"KIF21A",55605,22.7439407027778,36.6954963,13.9515555972222
"ILMN_1783905",3.94872006166667,-6.48893325178571,2.74230551151975,0.00821726635625792,0.999537311363859,-4.58657850500599,"LUZP4",51213,-7.89919041666667,-3.950470355,3.94872006166667
"ILMN_1761084",-4.27063003722222,-1.34073794107143,-2.7403132284502,0.00826111571444329,0.999537311363859,-4.58659132885535,"FNDC5",252995,0.184487072222222,-4.086142965,4.27063003722222
"ILMN_1659862",-3.05381821483333,-0.416626904107143,-2.73959993583153,0.00827686721790691,0.999537311363859,-4.58659591897109,"FAM7A3",89837,0.674022458333333,-2.3797957565,3.05381821483333
"ILMN_1670343",3.53237332694444,-3.13075224446429,2.73118543714385,0.00846477796019277,0.999537311363859,-4.58665002016506,"MAGI1",9223,-4.39231414694444,-0.85994082,3.53237332694444
"ILMN_1685115",7.69883478888889,15.6271207142857,2.73037059861905,0.00848318136907185,0.999537311363859,-4.58665525457041,"HEXIM1",10614,12.8775368611111,20.57637165,7.69883478888889
"ILMN_1746948",12.4330256944444,35.664435125,2.72957769595076,0.00850112462660959,0.999537311363859,-4.58666034727854,"MYL5",4636,31.2240688055556,43.6570945,12.4330256944444
"ILMN_1741908",-4.64010501805556,0.784430479464286,-2.71467902585647,0.00884482643629033,0.999537311363859,-4.58675589498898,"DPY19L2P4",NA,2.44161084305556,-2.198494175,4.64010501805556
"ILMN_2397406",5.11476165751111,-3.01789769414286,2.71145696388908,0.00892081474440487,0.999537311363859,-4.58677652237016,"AMELX",265,-4.84459828611111,0.2701633714,5.11476165751111
"ILMN_2414568",5.07201694722222,14.8125286267857,2.70925911899771,0.00897299132909603,0.999537311363859,-4.58679058536208,"MEOX1",4222,13.0010940027778,18.07311095,5.07201694722222
"ILMN_1721732",4.63598066638889,-2.57083412053571,2.70331763675085,0.00911544595630582,0.999537311363859,-4.58682857189017,"MLZE",56169,-4.22654150138889,0.409439165,4.63598066638889
