"logFC","AveExpr","t","P.Value","adj.P.Val","B","ProbeID"
7.91758703166666,5.9218886125,3.34043995503593,0.00150781193082084,0.999537311363859,-4.58254236505289,"ILMN_1823952"
5.89126460555556,-2.71692068214286,3.32314969982846,0.00158764399446927,0.999537311363859,-4.58266336849997,"ILMN_1850464"
4.88334700638889,3.16407153089286,3.29311569400325,0.0017358979794259,0.999537311363859,-4.5828730584058,"ILMN_1834590"
-4.37437978555555,0.303486715714286,-3.26045639757696,0.0019119100925216,0.999537311363859,-4.58310033555093,"ILMN_1847589"
-7.89600201833333,2.9977693625,-3.25776842878505,0.00192712285179989,0.999537311363859,-4.58311900590678,"ILMN_1732807"
38.6186783333333,175.347281785714,3.25407354271185,0.00194822074973155,0.999537311363859,-4.58314466131088,"ILMN_1677041"
8.15978889722222,15.8747585732143,3.25370004138624,0.00195036553302095,0.999537311363859,-4.5831472541389,"ILMN_1784175"
-4.22221125833333,-8.85652463392857,-3.2404650467595,0.00202781910491734,0.999537311363859,-4.58323906226818,"ILMN_2052487"
-4.40574402972222,-5.91951278089286,-3.23683732430459,0.00204955013799283,0.999537311363859,-4.5832642035115,"ILMN_1808583"
-4.23669698111111,-1.21408565357143,-3.22832148298816,0.00210142768724777,0.999537311363859,-4.58332318093911,"ILMN_1815988"
4.68385315944444,-4.24748624464286,3.21630563019489,0.00217673435221449,0.999537311363859,-4.58340630181581,"ILMN_1914691"
6.39842512777778,3.46363152857143,3.21531302885893,0.00218306759161776,0.999537311363859,-4.58341316315675,"ILMN_1839043"
-6.36772640661111,5.29274635875,-3.20533589134228,0.00224769707025581,0.999537311363859,-4.58348208654566,"ILMN_1716153"
7.02463123833333,0.3195133975,3.18215652468138,0.00240486569387664,0.999537311363859,-4.58364190401292,"ILMN_1873841"
5.67145506916667,-6.11498882410714,3.17594840489651,0.00244868229149611,0.999537311363859,-4.58368463353981,"ILMN_1913079"
-4.48691413555556,1.75795736142857,-3.17527514580246,0.00245347896782661,0.999537311363859,-4.58368926557039,"ILMN_1738780"
7.27281953055556,3.00127236607143,3.17173006988861,0.00247888211168127,0.999537311363859,-4.58371364955517,"ILMN_1666305"
4.96201951666666,4.32067436071429,3.16858876487805,0.00250159830633826,0.999537311363859,-4.58373524759296,"ILMN_1903200"
-4.82242083777778,2.34384229142857,-3.16207258095677,0.0025493449649022,0.999537311363859,-4.58378002341147,"ILMN_1675013"
-6.52846629722222,-5.55110115892857,-3.15551309951307,0.00259827261206879,0.999537311363859,-4.58382506084389,"ILMN_1888468"
-5.00787839777778,-7.80684332142857,-3.15514238982525,0.0026010639257584,0.999537311363859,-4.58382760505795,"ILMN_1836441"
-5.83733761666667,-2.22816719785714,-3.1514785178201,0.00262880346915491,0.999537311363859,-4.58385274430244,"ILMN_1741014"
4.50233662111111,0.273742458571429,3.13588081346138,0.00275003298996334,0.999537311363859,-4.58395963850365,"ILMN_1843975"
10.9647407194444,18.7447657089286,3.12814502522489,0.00281208553648509,0.999537311363859,-4.58401257598371,"ILMN_1683992"
5.07835453111111,-3.15948866428571,3.1266507930915,0.00282422186650472,0.999537311363859,-4.58402279533366,"ILMN_1903186"
-12.5798469906667,12.276419995,-3.12324347588485,0.00285208049154593,0.999537311363859,-4.58404609139552,"ILMN_2120210"
7.76302675938889,3.81001903053571,3.11919346328479,0.00288552907056575,0.999537311363859,-4.5840737684477,"ILMN_1765244"
8.34106547222222,25.0557829821429,3.11329580827687,0.00293489545777393,0.999537311363859,-4.58411404627008,"ILMN_1696266"
4.89619560111111,-0.035168725,3.10941754525076,0.0029677888266798,0.999537311363859,-4.58414051605276,"ILMN_1666985"
-5.37564014,3.01375024142857,-3.10885155466468,0.00297261805253465,0.999537311363859,-4.58414437792141,"ILMN_1830748"
-5.42863874444444,3.82777324285714,-3.10679704731742,0.00299020977338797,0.999537311363859,-4.58415839386072,"ILMN_1852245"
7.63180829105555,6.24968646267857,3.1025884287438,0.00302655113317345,0.999537311363859,-4.58418709355608,"ILMN_1702183"
5.75399325583333,-2.29947586696429,3.10245849342006,0.00302767968131484,0.999537311363859,-4.58418797936936,"ILMN_1657058"
-5.069234925,0.731916290357143,-3.10075232914297,0.00304253513128454,0.999537311363859,-4.58419960947671,"ILMN_1857435"
4.46274601305555,-4.16465246125,3.0947653168769,0.00309520560994391,0.999537311363859,-4.58424039952441,"ILMN_1843096"
7.96992610027778,8.63758662839286,3.09239824532401,0.00311626444028438,0.999537311363859,-4.58425651773852,"ILMN_1833680"
-3.20960169666667,0.492078321428571,-3.08818294209637,0.00315409881398981,0.999537311363859,-4.5842852087287,"ILMN_2372124"
13.1601963591667,11.4132110366071,3.08698853029463,0.00316489718413782,0.999537311363859,-4.58429333544615,"ILMN_1695978"
4.43259690583333,0.586569542678571,3.07695291992458,0.00325700343688061,0.999537311363859,-4.58436156616539,"ILMN_1900448"
